符合條件商品
資料日期：2024年  9月 10日
策略,	三率
29	,"3624.TW","光頡","53.1","-2.57","1254","12.79","29.41",14
30	,"3645.TW","達邁","47","-9.96","6851","19.77","31.02",15.88
31	,"3705.TW","永信","56.8","1.97","625","18.35","44.9",17.33
32	,"4113.TW","聯上","42.7","-4.37","1365","20.06","32.28",25.22
33	,"4153.TW","鈺緯","47.55","-0.31","2427","13.91","32.08",13.93
34	,"4545.TW","銘鈺","51.9","-3.89","986","12.59","27.18",12.83
35	,"4561.TW","健椿","69.7","-8.29","5997","20.04","33.53",24.67
36	,"4721.TW","美琪瑪","70","-3.58","214","19.02","22.55",16.17
37	,"4747.TW","強生","69.3","0.87","29","15.06","41.45",16.49
38	,"5508.TW","永信建","254","-3.05","2395","35.39","48.45",44.27
39	,"5520.TW","力泰","81.5","0","14","14.68","22.26",16.67
40	,"5536.TW","聖暉*","312","1.96","1676","12.62","23.36",16.39
41	,"5864.TW","致和證","18.2","-1.09","253","87.17","98.24",84.93
42	,"6020.TW","大展證","19","-0.26","15","66.21","94.11",65.45
43	,"6183.TW","關貿","72.6","0.14","33","22.73","41.83",24.01
44	,"6197.TW","佳必琪","150.5","-1.95","1998","19.46","35.44",19.57
45	,"6205.TW","詮欣","70.3","-0.71","671","19.94","43.16",13.54
46	,"6223.TW","旺矽","721","-3.09","3650","22.68","54.33",24.97
47	,"6266.TW","泰詠","31.35","-2.03","187","12.98","20.72",14.15
48	,"6274.TW","台燿","172","-3.1","17034","12.16","23.89",15.18
49	,"6442.TW","光聖","343","-5.12","6263","17.1","53.16",22
50	,"6509.TW","聚和","38.05","-1.93","597","14.85","33.37",17.99
51	,"6526.TW","達發","558","-2.96","543","16.34","52.8",18.81
52	,"6556.TW","勝品","104","-3.26","59","19.88","38.19",22.39
53	,"6568.TW","宏觀","117.5","-1.26","47","13.74","42.31",15.69
54	,"6585.TW","鼎基","157","-3.09","493","26.05","43.94",30
55	,"6655.TW","科定","142","-2.07","74","18.01","54.56",21.99
56	,"6666.TW","羅麗芬-KY","56.3","-0.35","13","12.68","63.3",19.28
57	,"6693.TW","廣閎科","81.7","-1.33","126","18.57","36.9",16.53
58	,"6727.TW","亞泰金屬","73","2.38","745","15.05","23.63",15.2
59	,"6789.TW","采鈺","274.5","-2.31","795","17.27","29.65",19.54
60	,"6894.TW","衛司特","181","-2.69","32","26.34","43.65",32
61	,"8033.TW","雷虎","53.6","-2.55","1109","15.12","47.6",13.44
62	,"8114.TW","振樺電","182","-0.55","862","13.41","44.42",17.77
63	,"8358.TW","金居","59.8","-1.97","2172","16.05","22.95",19.97
64	,"8424.TW","惠普","69.1","-1.14","20","17.18","30.59",20.38
65	,"8476.TW","台境","54.2","-1.45","35","29.52","43.87",37.55
66	,"8481.TW","政伸","50.8","1.91","4","18.85","44.48",18.45
67	,"8482.TW","商億-KY","61.5","-0.49","7","14.46","36.96",14.36
68	,"8917.TW","欣泰","61.6","-0.16","4","18.59","24.71",19.62
69	,"8927.TW","北基","54","-2.17","7490","14.57","26.52",18.95
70	,"8932.TW","智通*","79","-4.59","1654","23.45","49.13",32.46
71	,"8996.TW","高力","371","-7.02","10678","16.57","33.44",20
72	,"9926.TW","新海","53.6","0.37","16","27.48","29.95",22.55
73	,"9938.TW","百和","59.7","-4.78","2580","11.02","36.89",17.78
74	,"9939.TW","宏全","159.5","0","484","12.19","23.33",14.52
75	,"9940.TW","信義","30.8","-0.32","297","15.97","31.82",20.15
